1;172705;3.865000;108.000000;964.148987;960.283997
2;31409;2.242000;106.000000;942.931030;940.689026
3;200110;9.865000;101.000000;877.786011;867.921021
4;32430;3.149000;66.000000;826.698975;823.549988
5;30644;90.222000;496.000000;902.333984;812.112000
6;59689;1.918000;73.000000;806.265991;804.347961
7;286095;56.715000;455.000000;854.859985;798.144958
8;12167;32.462002;431.000000;830.208984;797.747009
9;180463;2.923000;66.000000;800.070984;797.148010
10;48290;47.926998;445.000000;843.538025;795.611023
11;235046;75.334999;472.000000;869.304993;793.969971
12;21460;3.445000;114.000000;793.896973;790.451965
13;262737;4.974000;79.000000;795.260010;790.286011
14;158585;3.168000;81.000000;786.901978;783.733948
15;986;33.053001;422.000000;811.098022;778.045044
16;12157;2.229000;73.000000;777.966003;775.737000
17;115415;21.164000;407.000000;793.403992;772.239990
18;274502;1.991000;59.000000;770.591003;768.599976
19;164469;35.820000;417.000000;800.731995;764.911987
20;299333;1.844000;52.000000;765.979980;764.135986
21;167454;1.594000;52.000000;765.392029;763.798035
22;294090;1.527000;66.000000;764.793030;763.266052
23;224254;1.717000;40.000000;764.737000;763.020020
24;25792;22.589001;103.000000;782.940002;760.351013
25;105810;3.102000;69.000000;763.385010;760.283020
26;125473;72.009003;451.000000;831.296021;759.286987
27;192568;210.725998;589.000000;969.297974;758.571960
28;290146;81.182999;458.000000;835.192993;754.010010
29;245861;90.010002;466.000000;843.442993;753.432983
30;41318;120.329002;495.000000;871.885986;751.557007
31;75007;98.821999;474.000000;850.015991;751.193970
32;297439;23.700001;398.000000;773.536987;749.836975
33;132093;12.698000;142.000000;759.916016;747.218018
34;169512;3.651000;111.000000;748.312988;744.661987
35;142350;64.982002;435.000000;806.706970;741.724976
36;39164;2.439000;59.000000;739.393982;736.954956
37;209123;2.205000;71.000000;739.140991;736.935974
38;172652;106.244003;470.000000;834.078979;727.834961
39;181963;2.651000;47.000000;728.742004;726.091003
40;18605;4.004000;71.000000;729.921021;725.916992
41;74144;97.219002;458.000000;820.390991;723.171997
42;110567;73.783997;434.000000;795.599976;721.815979
43;127819;92.439003;452.000000;813.645020;721.205994
44;113502;3.010000;78.000000;723.513000;720.502991
45;233969;3.794000;65.000000;723.768005;719.973999
46;226944;2.379000;51.000000;722.146973;719.767944
47;73697;3.826000;64.000000;723.130005;719.304016
48;147623;59.084999;417.000000;776.952026;717.867004
49;165538;91.411003;449.000000;808.963013;717.552002
50;95796;11.419000;115.000000;728.731995;717.312988
